agent_name,filename,source_role_file,domain,domain_task,role_title,primary_stage,primary_task_id,primary_task_title,primary_task_file,supporting_tasks,model,model_reasoning_effort,sandbox_mode
network_analyst_graph_analyst,agents/network_analyst_graph_analyst.toml,analytical-infrastructure-job-roles.md,Analytical Infrastructure,Link analysis and network visualisation,Network Analyst / Graph Analyst,Chronological & Relational Processing,t10.2,Quantitative Social Network Analysis (SNA),chronrel/t10.2.md,t10.1 — Edge List Generation (chronrel/t10.1.md); t10.3 — Visual Grammar Application (chronrel/t10.3.md); t10.4 — Two-Mode Analysis (chronrel/t10.4.md),gpt-5.5,high,read-only
intelligence_research_specialist,agents/intelligence_research_specialist.toml,analytical-infrastructure-job-roles.md,Analytical Infrastructure,Timeline construction and chronological analysis,Intelligence Research Specialist,Chronological & Relational Processing,t9.1,Master Chronology Construction,chronrel/t9.1.md,t9.2 — Identifying Temporal Gaps (chronrel/t9.2.md); t9.3 — Temporal Conflict Resolution (chronrel/t9.3.md); t9.4 — Chronological Sub-Types (chronrel/t9.4.md),gpt-5.5,medium,read-only
digital_forensics_analyst_timeline_analysis,agents/digital_forensics_analyst_timeline_analysis.toml,analytical-infrastructure-job-roles.md,Analytical Infrastructure,Timeline construction and chronological analysis,Digital Forensics Analyst,Chronological & Relational Processing,t9.4,Chronological Sub-Types,chronrel/t9.4.md,t5.1 — Digital Evidence Hashing (intelepi/t5.1.md); t5.2 — Metadata Preservation and Web Archiving (intelepi/t5.2.md); t9.3 — Temporal Conflict Resolution (chronrel/t9.3.md),gpt-5.5,high,read-only
all_source_intelligence_analyst,agents/all_source_intelligence_analyst.toml,analytical-infrastructure-job-roles.md,Analytical Infrastructure,Source evaluation and confidence frameworks,All-Source Intelligence Analyst,Intelligence Collection & Epistemic Filtering,t3.1b,Admiralty 6×6 Source Grading,intelepi/t3.1b.md,t3.2b — Parallel Sourcing and Corroboration (intelepi/t3.2b.md); t5.3 — Maintaining the Source Register (intelepi/t5.3.md); t13.4 — Mandatory Source Summary Statement (findis/t13.4.md),gpt-5.5,high,read-only
osint_investigator_osint_analyst,agents/osint_investigator_osint_analyst.toml,analytical-infrastructure-job-roles.md,Analytical Infrastructure,Source evaluation and confidence frameworks,OSINT Investigator / OSINT Analyst,Intelligence Collection & Epistemic Filtering,t3.2b,Parallel Sourcing and Corroboration,intelepi/t3.2b.md,t3.1b — Admiralty 6×6 Source Grading (intelepi/t3.1b.md); t3.3b — OSINT Technical Verification (intelepi/t3.3b.md); t5.3 — Maintaining the Source Register (intelepi/t5.3.md),gpt-5.5,high,read-only
fact_checker_verification_researcher,agents/fact_checker_verification_researcher.toml,analytical-infrastructure-job-roles.md,Analytical Infrastructure,Source evaluation and confidence frameworks,Fact-checker / Verification Researcher,Chronological & Relational Processing,t11.1,Content Verification (Deep Analytical Pass),chronrel/t11.1.md,t3.2b — Parallel Sourcing and Corroboration (intelepi/t3.2b.md); t3.3b — OSINT Technical Verification (intelepi/t3.3b.md); t13.4 — Mandatory Source Summary Statement (findis/t13.4.md),gpt-5.5,high,read-only
structured_analytic_techniques_analyst,agents/structured_analytic_techniques_analyst.toml,analytical-infrastructure-job-roles.md,Analytical Infrastructure,Hypothesis tracking and analytical reasoning,Structured Analytic Techniques Analyst,Hypothesis Reasoning & Cognitive De-biasing — Phase 5 Overview,t12.1,Hypothesis Generation and Matrix Setup,hypcog/t12.1.md,t12.2 — Assessing Diagnosticity and Matrix Scoring (hypcog/t12.2.md); t12.3 — Quantitative Analysis and Drawing Conclusions (hypcog/t12.3.md); t12.4 — Addressing Deception and Gaps (hypcog/t12.4.md),gpt-5.5,high,read-only
red_team_analyst_red_cell_analyst,agents/red_team_analyst_red_cell_analyst.toml,analytical-infrastructure-job-roles.md,Analytical Infrastructure,Hypothesis tracking and analytical reasoning,Red Team Analyst / Red Cell Analyst,Hypothesis Reasoning & Cognitive De-biasing — Phase 5 Overview,t12.4,Addressing Deception and Gaps,hypcog/t12.4.md,t12.1 — Hypothesis Generation and Matrix Setup (hypcog/t12.1.md); t12.2 — Assessing Diagnosticity and Matrix Scoring (hypcog/t12.2.md); t12.3 — Quantitative Analysis and Drawing Conclusions (hypcog/t12.3.md),gpt-5.5,high,read-only
strategic_intelligence_analyst,agents/strategic_intelligence_analyst.toml,analytical-infrastructure-job-roles.md,Analytical Infrastructure,Hypothesis tracking and analytical reasoning,Strategic Intelligence Analyst,Final Reporting & Dissemination — Phase 6 Overview,t15.3,Strategic and Tactical Assessments (NIM),findis/t15.3.md,t12.3 — Quantitative Analysis and Drawing Conclusions (hypcog/t12.3.md); t13.3 — Applying Standardised Probability Language (ICD 203) (findis/t13.3.md); t13.1 — Constructing the Bottom Line Up Front (BLUF) (findis/t13.1.md),gpt-5.5,high,read-only
professional_genealogist,agents/professional_genealogist.toml,contextual-intelligence-job-roles.md,Contextual Intelligence,Genealogical and family network research,Professional Genealogist,Collation & Entity Resolution,t8.2,Specialised Research Templates,colent/t8.2.md,t7.2 — Probabilistic Matching and Human Review (colent/t7.2.md); t9.3 — Temporal Conflict Resolution (chronrel/t9.3.md); t10.4 — Two-Mode Analysis (chronrel/t10.4.md),gpt-5.5,medium,read-only
genealogy_researcher_lineage_researcher,agents/genealogy_researcher_lineage_researcher.toml,contextual-intelligence-job-roles.md,Contextual Intelligence,Genealogical and family network research,Genealogy Researcher / Lineage Researcher,Collation & Entity Resolution,t8.2,Specialised Research Templates,colent/t8.2.md,t9.1 — Master Chronology Construction (chronrel/t9.1.md); t9.3 — Temporal Conflict Resolution (chronrel/t9.3.md); t10.4 — Two-Mode Analysis (chronrel/t10.4.md),gpt-5.5,medium,read-only
investigative_genetic_genealogist,agents/investigative_genetic_genealogist.toml,contextual-intelligence-job-roles.md,Contextual Intelligence,Genealogical and family network research,Investigative Genetic Genealogist,Collation & Entity Resolution,t8.2,Specialised Research Templates,colent/t8.2.md,t7.1 — Entity Resolution Pipeline (Fellegi-Sunter) (colent/t7.1.md); t7.2 — Probabilistic Matching and Human Review (colent/t7.2.md); t10.4 — Two-Mode Analysis (chronrel/t10.4.md),gpt-5.5,high,read-only
ethnographer_cultural_anthropologist,agents/ethnographer_cultural_anthropologist.toml,contextual-intelligence-job-roles.md,Contextual Intelligence,Cultural context and ethnographic background,Ethnographer / Cultural Anthropologist,Operational Direction & Strategic Foundation,t1.2,Environmental Assessment (STEEPLES),oppstrat/t1.2.md,"t8.2 — Specialised Research Templates (colent/t8.2.md); t12.4 — Addressing Deception and Gaps (hypcog/t12.4.md); t13.2 — Structural Separation of Facts, Assumptions, and Judgments (findis/t13.2.md)",gpt-5.5,medium,read-only
qualitative_researcher,agents/qualitative_researcher.toml,contextual-intelligence-job-roles.md,Contextual Intelligence,Cultural context and ethnographic background,Qualitative Researcher,Operational Direction & Strategic Foundation,t1.2,Environmental Assessment (STEEPLES),oppstrat/t1.2.md,"t2.1 — Defining Intelligence Requirements (IRs) (oppstrat/t2.1.md); t8.2 — Specialised Research Templates (colent/t8.2.md); t13.2 — Structural Separation of Facts, Assumptions, and Judgments (findis/t13.2.md)",gpt-5.5,medium,read-only
area_studies_cultural_intelligence_analyst,agents/area_studies_cultural_intelligence_analyst.toml,contextual-intelligence-job-roles.md,Contextual Intelligence,Cultural context and ethnographic background,Area Studies / Cultural Intelligence Analyst,Operational Direction & Strategic Foundation,t1.2,Environmental Assessment (STEEPLES),oppstrat/t1.2.md,t2.1 — Defining Intelligence Requirements (IRs) (oppstrat/t2.1.md); t3.2b — Parallel Sourcing and Corroboration (intelepi/t3.2b.md); t15.3 — Strategic and Tactical Assessments (NIM) (findis/t15.3.md),gpt-5.5,medium,read-only
economic_historian,agents/economic_historian.toml,contextual-intelligence-job-roles.md,Contextual Intelligence,Economic history of places,Economic Historian,Chronological & Relational Processing,t11.3,Spatial Econometrics,chronrel/t11.3.md,"t9.1 — Master Chronology Construction (chronrel/t9.1.md); t11.2 — Map Regression and Urban Morphology (chronrel/t11.2.md); t13.2 — Structural Separation of Facts, Assumptions, and Judgments (findis/t13.2.md)",gpt-5.5,medium,read-only
regional_economist_economic_development_analyst,agents/regional_economist_economic_development_analyst.toml,contextual-intelligence-job-roles.md,Contextual Intelligence,Economic history of places,Regional Economist / Economic Development Analyst,Chronological & Relational Processing,t11.3,Spatial Econometrics,chronrel/t11.3.md,t1.2 — Environmental Assessment (STEEPLES) (oppstrat/t1.2.md); t15.3 — Strategic and Tactical Assessments (NIM) (findis/t15.3.md); t13.3 — Applying Standardised Probability Language (ICD 203) (findis/t13.3.md),gpt-5.5,medium,read-only
historical_gis_analyst,agents/historical_gis_analyst.toml,contextual-intelligence-job-roles.md,Contextual Intelligence,Economic history of places,Historical GIS Analyst,Chronological & Relational Processing,t11.2,Map Regression and Urban Morphology,chronrel/t11.2.md,t11.3 — Spatial Econometrics (chronrel/t11.3.md); t9.1 — Master Chronology Construction (chronrel/t9.1.md); t10.3 — Visual Grammar Application (chronrel/t10.3.md),gpt-5.5,medium,read-only
local_historian_public_historian,agents/local_historian_public_historian.toml,contextual-intelligence-job-roles.md,Contextual Intelligence,Place history and local intelligence,Local Historian / Public Historian,Chronological & Relational Processing,t11.2,Map Regression and Urban Morphology,chronrel/t11.2.md,"t8.2 — Specialised Research Templates (colent/t8.2.md); t9.1 — Master Chronology Construction (chronrel/t9.1.md); t13.2 — Structural Separation of Facts, Assumptions, and Judgments (findis/t13.2.md)",gpt-5.4-mini,low,read-only
historic_preservation_specialist,agents/historic_preservation_specialist.toml,contextual-intelligence-job-roles.md,Contextual Intelligence,Place history and local intelligence,Historic Preservation Specialist,Chronological & Relational Processing,t11.2,Map Regression and Urban Morphology,chronrel/t11.2.md,t5.2 — Metadata Preservation and Web Archiving (intelepi/t5.2.md); t8.2 — Specialised Research Templates (colent/t8.2.md); t14.3 — Evidence Vault Archiving (findis/t14.3.md),gpt-5.5,medium,read-only
archivist_records_manager,agents/archivist_records_manager.toml,contextual-intelligence-job-roles.md,Contextual Intelligence,Place history and local intelligence,Archivist / Records Manager,Intelligence Collection & Epistemic Filtering,t5.3,Maintaining the Source Register,intelepi/t5.3.md,t5.2 — Metadata Preservation and Web Archiving (intelepi/t5.2.md); t14.3 — Evidence Vault Archiving (findis/t14.3.md); t13.4 — Mandatory Source Summary Statement (findis/t13.4.md),gpt-5.4-mini,low,read-only
sociologist_social_researcher,agents/sociologist_social_researcher.toml,contextual-intelligence-job-roles.md,Contextual Intelligence,Social history and community dynamics,Sociologist / Social Researcher,Operational Direction & Strategic Foundation,t1.2,Environmental Assessment (STEEPLES),oppstrat/t1.2.md,t2.1 — Defining Intelligence Requirements (IRs) (oppstrat/t2.1.md); t8.2 — Specialised Research Templates (colent/t8.2.md); t12.4 — Addressing Deception and Gaps (hypcog/t12.4.md),gpt-5.5,medium,read-only
community_researcher_community_development_officer,agents/community_researcher_community_development_officer.toml,contextual-intelligence-job-roles.md,Contextual Intelligence,Social history and community dynamics,Community Researcher / Community Development Officer,Operational Direction & Strategic Foundation,t1.2,Environmental Assessment (STEEPLES),oppstrat/t1.2.md,"t2.3 — Prioritising Lines of Enquiry (oppstrat/t2.3.md); t8.2 — Specialised Research Templates (colent/t8.2.md); t13.2 — Structural Separation of Facts, Assumptions, and Judgments (findis/t13.2.md)",gpt-5.4-mini,low,read-only
oral_historian_community_archivist,agents/oral_historian_community_archivist.toml,contextual-intelligence-job-roles.md,Contextual Intelligence,Social history and community dynamics,Oral Historian / Community Archivist,Collation & Entity Resolution,t8.2,Specialised Research Templates,colent/t8.2.md,t5.3 — Maintaining the Source Register (intelepi/t5.3.md); t9.3 — Temporal Conflict Resolution (chronrel/t9.3.md); t13.4 — Mandatory Source Summary Statement (findis/t13.4.md),gpt-5.4-mini,low,read-only
corporate_institutional_historian,agents/corporate_institutional_historian.toml,contextual-intelligence-job-roles.md,Contextual Intelligence,"Institutional history, named in the contextual file title but not present as a full mounted section",Corporate / Institutional Historian,Collation & Entity Resolution,t8.1,Subject and Corporate Profiles,colent/t8.1.md,"t9.1 — Master Chronology Construction (chronrel/t9.1.md); t11.2 — Map Regression and Urban Morphology (chronrel/t11.2.md); t13.2 — Structural Separation of Facts, Assumptions, and Judgments (findis/t13.2.md)",gpt-5.5,medium,read-only
records_manager_information_governance_specialist,agents/records_manager_information_governance_specialist.toml,contextual-intelligence-job-roles.md,Contextual Intelligence,"Institutional history, named in the contextual file title but not present as a full mounted section",Records Manager / Information Governance Specialist,Final Reporting & Dissemination — Phase 6 Overview,t14.3,Evidence Vault Archiving,findis/t14.3.md,t5.3 — Maintaining the Source Register (intelepi/t5.3.md); t5.2 — Metadata Preservation and Web Archiving (intelepi/t5.2.md); t14.2 — Maintaining the Dissemination Log (findis/t14.2.md),gpt-5.4-mini,low,read-only
organisational_researcher,agents/organisational_researcher.toml,contextual-intelligence-job-roles.md,Contextual Intelligence,"Institutional history, named in the contextual file title but not present as a full mounted section",Organisational Researcher,Collation & Entity Resolution,t8.1,Subject and Corporate Profiles,colent/t8.1.md,"t1.2 — Environmental Assessment (STEEPLES) (oppstrat/t1.2.md); t10.4 — Two-Mode Analysis (chronrel/t10.4.md); t13.2 — Structural Separation of Facts, Assumptions, and Judgments (findis/t13.2.md)",gpt-5.5,medium,read-only
osint_investigator,agents/osint_investigator.toml,osint-investigation-job-roles.md,OSINT Investigation,People investigation and entity research,OSINT Investigator,Collation & Entity Resolution,t8.1,Subject and Corporate Profiles,colent/t8.1.md,t3.2b — Parallel Sourcing and Corroboration (intelepi/t3.2b.md); t3.3b — OSINT Technical Verification (intelepi/t3.3b.md); t5.3 — Maintaining the Source Register (intelepi/t5.3.md),gpt-5.5,high,read-only
background_investigator,agents/background_investigator.toml,osint-investigation-job-roles.md,OSINT Investigation,People investigation and entity research,Background Investigator,Collation & Entity Resolution,t8.1,Subject and Corporate Profiles,colent/t8.1.md,t3.2b — Parallel Sourcing and Corroboration (intelepi/t3.2b.md); t7.2 — Probabilistic Matching and Human Review (colent/t7.2.md); t13.4 — Mandatory Source Summary Statement (findis/t13.4.md),gpt-5.5,medium,read-only
protective_intelligence_analyst,agents/protective_intelligence_analyst.toml,osint-investigation-job-roles.md,OSINT Investigation,People investigation and entity research,Protective Intelligence Analyst,Operational Direction & Strategic Foundation,t1.4,Risk Management and Negative Decision Logging,oppstrat/t1.4.md,t2.3 — Prioritising Lines of Enquiry (oppstrat/t2.3.md); t3.2b — Parallel Sourcing and Corroboration (intelepi/t3.2b.md); t15.3 — Strategic and Tactical Assessments (NIM) (findis/t15.3.md),gpt-5.5,high,read-only
corporate_intelligence_analyst,agents/corporate_intelligence_analyst.toml,osint-investigation-job-roles.md,OSINT Investigation,Business intelligence and corporate investigation,Corporate Intelligence Analyst,Collation & Entity Resolution,t8.1,Subject and Corporate Profiles,colent/t8.1.md,t3.2b — Parallel Sourcing and Corroboration (intelepi/t3.2b.md); t10.4 — Two-Mode Analysis (chronrel/t10.4.md); t15.3 — Strategic and Tactical Assessments (NIM) (findis/t15.3.md),gpt-5.5,high,read-only
enhanced_due_diligence_kyb_analyst,agents/enhanced_due_diligence_kyb_analyst.toml,osint-investigation-job-roles.md,OSINT Investigation,Business intelligence and corporate investigation,Enhanced Due Diligence / KYB Analyst,Collation & Entity Resolution,t8.1,Subject and Corporate Profiles,colent/t8.1.md,t3.1b — Admiralty 6×6 Source Grading (intelepi/t3.1b.md); t3.2b — Parallel Sourcing and Corroboration (intelepi/t3.2b.md); t13.4 — Mandatory Source Summary Statement (findis/t13.4.md),gpt-5.5,high,read-only
competitive_intelligence_analyst,agents/competitive_intelligence_analyst.toml,osint-investigation-job-roles.md,OSINT Investigation,Business intelligence and corporate investigation,Competitive Intelligence Analyst,Final Reporting & Dissemination — Phase 6 Overview,t15.3,Strategic and Tactical Assessments (NIM),findis/t15.3.md,t1.2 — Environmental Assessment (STEEPLES) (oppstrat/t1.2.md); t2.1 — Defining Intelligence Requirements (IRs) (oppstrat/t2.1.md); t3.2b — Parallel Sourcing and Corroboration (intelepi/t3.2b.md),gpt-5.5,medium,read-only
social_media_intelligence_analyst,agents/social_media_intelligence_analyst.toml,osint-investigation-job-roles.md,OSINT Investigation,"Social Media Intelligence, SOCMINT",Social Media Intelligence Analyst,Final Reporting & Dissemination — Phase 6 Overview,t15.2,Social Media Attribution (Account Attribution Report),findis/t15.2.md,t3.3b — OSINT Technical Verification (intelepi/t3.3b.md); t5.2 — Metadata Preservation and Web Archiving (intelepi/t5.2.md); t11.1 — Content Verification (Deep Analytical Pass) (chronrel/t11.1.md),gpt-5.5,medium,read-only
open_source_monitoring_specialist,agents/open_source_monitoring_specialist.toml,osint-investigation-job-roles.md,OSINT Investigation,"Social Media Intelligence, SOCMINT",Open Source Monitoring Specialist,Intelligence Collection & Epistemic Filtering,t3.2b,Parallel Sourcing and Corroboration,intelepi/t3.2b.md,t3.1b — Admiralty 6×6 Source Grading (intelepi/t3.1b.md); t5.3 — Maintaining the Source Register (intelepi/t5.3.md); t4.2 — Mandatory Recording of Negative Results (intelepi/t4.2.md),gpt-5.4-mini,low,read-only
narrative_propaganda_analyst,agents/narrative_propaganda_analyst.toml,osint-investigation-job-roles.md,OSINT Investigation,"Social Media Intelligence, SOCMINT",Narrative / Propaganda Analyst,Hypothesis Reasoning & Cognitive De-biasing — Phase 5 Overview,t12.4,Addressing Deception and Gaps,hypcog/t12.4.md,t11.1 — Content Verification (Deep Analytical Pass) (chronrel/t11.1.md); t3.2b — Parallel Sourcing and Corroboration (intelepi/t3.2b.md); t13.3 — Applying Standardised Probability Language (ICD 203) (findis/t13.3.md),gpt-5.5,high,read-only
financial_crime_analyst,agents/financial_crime_analyst.toml,osint-investigation-job-roles.md,OSINT Investigation,Financial intelligence and asset investigation,Financial Crime Analyst,Chronological & Relational Processing,t9.4,Chronological Sub-Types,chronrel/t9.4.md,t8.1 — Subject and Corporate Profiles (colent/t8.1.md); t10.1 — Edge List Generation (chronrel/t10.1.md); t12.3 — Quantitative Analysis and Drawing Conclusions (hypcog/t12.3.md),gpt-5.5,high,read-only
aml_kyc_cdd_analyst,agents/aml_kyc_cdd_analyst.toml,osint-investigation-job-roles.md,OSINT Investigation,Financial intelligence and asset investigation,AML / KYC / CDD Analyst,Collation & Entity Resolution,t8.1,Subject and Corporate Profiles,colent/t8.1.md,t3.1b — Admiralty 6×6 Source Grading (intelepi/t3.1b.md); t3.2b — Parallel Sourcing and Corroboration (intelepi/t3.2b.md); t13.4 — Mandatory Source Summary Statement (findis/t13.4.md),gpt-5.5,high,read-only
forensic_accountant_asset_tracing_investigator,agents/forensic_accountant_asset_tracing_investigator.toml,osint-investigation-job-roles.md,OSINT Investigation,Financial intelligence and asset investigation,Forensic Accountant / Asset Tracing Investigator,Chronological & Relational Processing,t9.4,Chronological Sub-Types,chronrel/t9.4.md,"t10.1 — Edge List Generation (chronrel/t10.1.md); t10.2 — Quantitative Social Network Analysis (SNA) (chronrel/t10.2.md); t13.2 — Structural Separation of Facts, Assumptions, and Judgments (findis/t13.2.md)",gpt-5.5,high,read-only
sanctions_research_analyst,agents/sanctions_research_analyst.toml,osint-investigation-job-roles.md,OSINT Investigation,Financial intelligence and asset investigation,Sanctions Research Analyst,Collation & Entity Resolution,t8.1,Subject and Corporate Profiles,colent/t8.1.md,t3.2b — Parallel Sourcing and Corroboration (intelepi/t3.2b.md); t3.1b — Admiralty 6×6 Source Grading (intelepi/t3.1b.md); t13.4 — Mandatory Source Summary Statement (findis/t13.4.md),gpt-5.5,high,read-only
digital_forensics_analyst_technical_intelligence,agents/digital_forensics_analyst_technical_intelligence.toml,osint-investigation-job-roles.md,OSINT Investigation,Digital forensics and technical intelligence,Digital Forensics Analyst,Intelligence Collection & Epistemic Filtering,t5.1,Digital Evidence Hashing,intelepi/t5.1.md,t5.2 — Metadata Preservation and Web Archiving (intelepi/t5.2.md); t11.1 — Content Verification (Deep Analytical Pass) (chronrel/t11.1.md); t14.3 — Evidence Vault Archiving (findis/t14.3.md),gpt-5.5,high,read-only
cyber_incident_responder_cyber_forensic_analyst,agents/cyber_incident_responder_cyber_forensic_analyst.toml,osint-investigation-job-roles.md,OSINT Investigation,Digital forensics and technical intelligence,Cyber Incident Responder / Cyber Forensic Analyst,Intelligence Collection & Epistemic Filtering,t5.1,Digital Evidence Hashing,intelepi/t5.1.md,t5.2 — Metadata Preservation and Web Archiving (intelepi/t5.2.md); t11.1 — Content Verification (Deep Analytical Pass) (chronrel/t11.1.md); t14.3 — Evidence Vault Archiving (findis/t14.3.md),gpt-5.5,high,read-only
malware_reverse_engineering_analyst,agents/malware_reverse_engineering_analyst.toml,osint-investigation-job-roles.md,OSINT Investigation,Digital forensics and technical intelligence,Malware / Reverse Engineering Analyst,Chronological & Relational Processing,t11.1,Content Verification (Deep Analytical Pass),chronrel/t11.1.md,t5.1 — Digital Evidence Hashing (intelepi/t5.1.md); t5.2 — Metadata Preservation and Web Archiving (intelepi/t5.2.md); t3.3b — OSINT Technical Verification (intelepi/t3.3b.md),gpt-5.5,high,read-only
geospatial_intelligence_analyst,agents/geospatial_intelligence_analyst.toml,osint-investigation-job-roles.md,OSINT Investigation,"Geospatial Intelligence, GEOINT",Geospatial Intelligence Analyst,Chronological & Relational Processing,t11.2,Map Regression and Urban Morphology,chronrel/t11.2.md,t11.1 — Content Verification (Deep Analytical Pass) (chronrel/t11.1.md); t11.3 — Spatial Econometrics (chronrel/t11.3.md); t10.3 — Visual Grammar Application (chronrel/t10.3.md),gpt-5.5,high,read-only
imagery_analyst,agents/imagery_analyst.toml,osint-investigation-job-roles.md,OSINT Investigation,"Geospatial Intelligence, GEOINT",Imagery Analyst,Chronological & Relational Processing,t11.1,Content Verification (Deep Analytical Pass),chronrel/t11.1.md,t11.2 — Map Regression and Urban Morphology (chronrel/t11.2.md); t5.2 — Metadata Preservation and Web Archiving (intelepi/t5.2.md); t10.3 — Visual Grammar Application (chronrel/t10.3.md),gpt-5.5,high,read-only
gis_analyst_geographer,agents/gis_analyst_geographer.toml,osint-investigation-job-roles.md,OSINT Investigation,"Geospatial Intelligence, GEOINT",GIS Analyst / Geographer,Chronological & Relational Processing,t11.3,Spatial Econometrics,chronrel/t11.3.md,t11.2 — Map Regression and Urban Morphology (chronrel/t11.2.md); t10.3 — Visual Grammar Application (chronrel/t10.3.md); t9.1 — Master Chronology Construction (chronrel/t9.1.md),gpt-5.5,medium,read-only
